country	Access_to_Electricity_percent_of_Population	basic_drinking_water_access_pct	Control_of_Corruption_Percentile_Rank_Upper_Bound_of_90_percent_Confidence_Interval	death_20_24_years	Employment_in_Industry_Female_percent_of_Female_Employment_ILO_modeled_estimates	Employment_to_Population_Ratio_Ages_15__Total_percent_ILO_modeled_estimates	Employment_to_Population_Ratio_Ages_15_24_Male_percent_ILO_modeled_estimates	energy_consumption_gnipct	energy_intensity_mj_gdp	export_value_index_2000	export_volume_index_2000	Female_to_Male_Labor_Force_Participation_Rate_Ratio_percent_ILO_modeled_estimates	fertility_rate_total	gdp_deflator	GDP_per_Employed_Person_constant_2021_PPP_dollars	government_effectiveness_estimate	Gross_Enrollment_Ratio_of_Girls_in_Primary_School_percent	Labor_Force_Participation_Rate_Male_percent_of_Male_Population_Ages_15__ILO_modeled_estimates	Labor_Force_Participation_Rate_of_Women_Aged_15_24_percent_ILO_modeled_estimates	male_population_0_14_pct	Merchandise_Trade_percent_of_GDP	open_defecation_percent	personal_remittances_gdp_percent	Population_Aged_20_24_Female_percent_of_Female_Population	primary_school_enrollment_gross	refugee_population	Rule_of_Law_estimate	rural_electricity_access_pct	service_value_added_growth	Total_Cases	Unemployment_Rate_Youth_Total_percent_of_Total_Labor_Force_Ages_15_24_ILO_modeled_estimates	unemployment_total_ilo	voice_accountability_estimate	Women_Business_and_the_Law_Index_score_scale_1_100	women_parliament_seats_percent	year
NPL	69	85.591	40.952	3316	11	36	35	0	6	118.745	129.991	40	2.512	79.116	13601	-0.897	143	58	17	37.67	37.425	38.664	22	9.718	147	5883	-0.959	63	6	45	20	11	-0.447	49	33	2010
PHL	86	89.881	34.286	10890	11	59	46	0	3	87.54	87.13	64	3.264	84.045	16464	0.071	108	75	32	35.254	52.775	7.677	10	8.923	108	963	-0.554	78	8	33	10	4	-0.039	72	22	2010
PNG	20	37.88	24.286	1392	3	47	34	4	7	67.925	58.987	97	3.883	93.017	12246	-0.731	76	49	39	38.034	65.021	14.06	0	9.816	80	87	-0.933	12	12	8997	4	2	-0.031	58	1	2010
SDN	25.77777778	58.3	32.72488889	12263	7.388888889	69	49.11111111	3.277777778	8.111111111	98.9485	86.04405556	88.61111111	5.583277778	116.8033684	11576.875	-0.892166667	102.2222222	76.55555556	51.22222222	45.83383333	46.80227778	50	2.055555556	9.232333333	102.9894737	837188	-0.866888889	49	7.611111111	5998.222222	32	4.388888889	-0.650055556	66.38888889	18.77777778	2010
SSD	25.77777778	41.187	32.72488889	4120	7.388888889	69	49.11111111	3.277777778	8.111111111	98.9485	86.04405556	88.61111111	5.583277778	112	8174.111111	-0.892166667	102.2222222	76.55555556	51.22222222	45.83383333	46.80227778	71	2.055555556	9.232333333	37.8	73733	-0.866888889	0.3	7.611111111	5998.222222	19.3	4.388888889	-0.650055556	66.38888889	18.77777778	2010
TCD	6	44.576	12.381	4151	6	64	46	12	4	148.39	100.538	72	6.99	118.778	6589	-1.457	71	75	41	49.171	56.242	67.693	0	8.378	84	53713	-1.514	3	12	6395	1	1	-1.36	58	5	2010
TGO	31	57.618	28.095	1473	20	57	23	0	12	96.601	83.627	90	5.007	90.222	6132	-1.384	120	62	29	42.08	56.022	51.568	7	9.116	126	18308	-0.936	9	4	72	4	2	-0.952	69	11	2010
THA	100	97.543	53.333	7274	18	71	53	2	5	90.199	90.309	80	1.576	131.288	29266	0.083	104	80	39	20.223	110.297	0.506	1	7.189	104	351	-0.234	100	7	1974	3	1	-0.496	75	13	2010
TZA	15	43.458	47.619	7798	3	84	73	0	9	83.802	83.193	94	5.293	64.469	5563	-0.621	102	89	76	45.827	37.251	9.325	1	9.423	102	1135	-0.486	2	8	4469	6	3	-0.131	81	33	2010
UGA	12	40.23	28.095	9286	5	68	54	0	10	71.398	69.664	87	6.071	70.104	6645	-0.572	120	75	51	50.703	23.555	9.218	3	9.174	120	6421	-0.397	4	7	2341	5	4	-0.518	70	31	2010
VNM	97	88.844	42.857	6984	17	75	59	2	4	44.573	50.338	88	1.895	100	12762	-0.243	97	81	56	25.542	106.708	8.511	5	9.268	99	338707	-0.581	96	-8	606	3	1	-1.497	70	26	2010
ZMB	22	57.758	47.619	5236	3	52	30	0	8	108.987	87.124	76	5.363	100	12023	-0.862	110	68	36	47.264	61.785	17.286	0	9.548	111	221	-0.496	4	15	6794	29	13	-0.243	61	14	2010
ZWE	39	67.541	12.381	4951	3	62	51	1	18	98.491	92.937	85	4.025	8.31	7915	-1.538	102	71	43	45.44	70.887	25.072	12	10.369	105	24080	-1.838	16	11	951	9	5	-1.475	87	15	2010
AFG	43	51.472	4.265	6867	20	43	56	0	3	65.777	58.798	20	5.958	81.835	12384	-1.474	83	78	14	48.994	38.702	17.498	1	8.661	100	2664423	-1.923	30	10	3733	10	8	-1.336	29	28	2011
AGO	35	51.175	12.796	10387	2	64	36	32	3	202.857	99.639	94	6.12	779.446	27528	-1.193	98	80	57	46.524	78.306	27.768	0	8.861	126	128657	-1.277	5	9	1810	39	17	-1.125	62	38	2011
AUS	100	99.892	99.526	717	9	62	61	1	5	144.783	84.511	82	1.926	79.776	104213	1.69	105	72	68	19.558	36.851	0	0	7.024	105	38	1.733	100	3	6	11	5	1.454	91	25	2011
BDI	6	57.128	18.957	2106	1	77	50	0	8	102.385	76.197	103	6.108	179.741	2307	-1.085	141	77	62	45.752	39.136	2.089	2	10.024	140	101282	-1.154	1	7	1072	2	2	-0.928	73	30	2011
BEN	37	64.778	45.498	1993	17	70	37	0	6	83.843	62.222	94	5.366	91.024	7175	-0.547	113	74	48	44.321	33.095	58.044	2	8.969	119	460	-0.659	14	9	755	5	3	0.166	72	8	2011
BFA	15	52.911	54.502	3346	4	66	61	0	5	110.23	80.871	74	5.869	99.365	5434	-0.568	77	79	49	46.694	39.776	53.014	2	9.024	80	1262	-0.35	2	7	20	6	4	-0.28	77	15	2011
CHN	100	89.581	49.763	69124	31	68	52	3	9	83.502	83.065	82	1.668	85.027	20254	0.084	104	78	54	19.304	48.227	1.065	0	8.924	104	190369	-0.454	100	9	26	10	5	-1.638	69	21	2011
CMR	54	63.759	18.957	7513	10	72	56	5	5	111.306	77.149	86	5.058	92.409	10486	-0.894	100	81	51	44.145	36.946	6.213	1	9.542	108	15149	-1.081	17	6	22433	6	4	-1.033	51	14	2011
COD	14	36.799	9.953	25467	5	64	30	2	14	75.993	55.532	91	6.582	299.373	3187	-1.681	90	70	41	46.595	46.827	11.442	4	8.672	97	491470	-1.626	1	1	21700	8	4	-1.485	42	9	2011
COG	41	66.952	20.379	1166	25	55	24	39	4	160.312	109.786	97	4.791	156.478	26350	-1.206	105	69	44	41.204	133.098	8.676	0	9.266	108	12836	-1.208	10	11	762	40	20	-1.108	49	7	2011
DEU	100	100	95.261	1796	14	57	49	0	3	111.143	97.309	81	1.39	93.125	117897	1.5	104	67	50	14.149	72.783	0	0	5.843	104	169	1.618	100	3	4	9	6	1.349	97	33	2011
GBR	100	100	94.313	1629	8	57	46	1	3	108.741	96.085	82	1.91	94.563	103560	1.604	105	69	56	18.379	44.722	0	0	6.568	105	150	1.659	100	2	32	21	8	1.297	95	22	2011
GHA	64	76.68	63.033	4777	12	68	44	3	3	123.877	96.929	90	4.193	75.1	12080	-0.09	98	74	44	39.715	72.764	18.958	5	9.563	99	20333	-0.003	42	9	10628	9	4	0.485	75	8	2011
JPN	100	98.765	93.839	3151	15	57	38	0	4	131.726	99.176	68	1.39	97.387	83825	1.467	102	71	44	13.757	26.93	0	0	4.758	103	176	1.304	100	1	12	8	5	1.071	79	11	2011
KEN	36	55.375	24.171	10474	8	72	43	0	5	97.448	88.355	93	4.219	68.348	10558	-0.579	111	77	46	43.453	43.82	12.223	2	9.894	111	8731	-0.913	26	5	74	7	3	-0.27	76	10	2011
KOR	100	99.111	72.512	1340	14	60	18	0	6	105.402	86.071	69	1.244	93.898	77241	1.158	101	73	28	16.404	86.143	0	1	6.069	101	508	1.026	100	4	3	8	3	0.727	85	15	2011
MLI	29	67.172	42.18	3838	4	70	64	0	6	87.403	62.571	75	6.545	159.352	6241	-0.796	75	81	53	47.479	44.063	11.405	6	8.882	81	4289	-0.5	1	7	2220	2	1	0.168	49	10	2011
MOZ	20	40.983	50.711	10070	1	78	58	2	14	105.591	76.601	100	5.551	66.336	3001	-0.65	107	80	68	46.69	67.828	38.953	1	8.831	113	147	-0.58	4	8	1279	7	3	-0.2	79	39	2011
MWI	8	62.947	54.028	4751	5	70	58	0	4	131.959	119.843	88	5.106	34.705	4291	-0.474	136	78	58	47.603	33.147	8.674	0	9.372	136	216	-0.166	3	6	120	7	5	-0.245	62	22	2011
MYS	100	97.024	63.981	2246	20	60	45	6	5	114.071	85.948	59	2.149	95.297	55399	0.987	100	77	33	27.197	139.472	0.459	0	9.991	99	531	0.403	99	7	586	10	3	-0.475	47	10	2011
NER	14	44.047	42.654	5247	11	79	81	1	5	114.943	95.687	76	7.449	93.594	3251	-0.653	59	90	59	49.338	46.096	74.202	2	8.025	65	805	-0.408	6	6	2324	0	0	-0.247	54	13	2011
NGA	56	61.671	18.483	37372	11	58	28	9	7	231.001	123.116	89	5.918	109.778	17563	-1.102	85	64	30	44.613	41.499	21.639	5	8.543	88	17140	-1.179	31	5	23377	10	4	-0.713	57	7	2011
NPL	67	86.142	36.493	3299	11	36	35	0	6	127.551	120.59	41	2.439	100	13923	-0.92	154	58	17	37.178	31.024	35.702	20	9.833	150	6845	-0.892	62	3	1	20	11	-0.445	49	33	2011
PHL	87	90.303	39.81	10980	10	60	48	0	3	82.113	76.596	64	3.122	87.338	16485	0.19	108	76	33	34.886	47.991	7.282	10	9.008	108	945	-0.506	81	5	120	10	4	-0.02	72	23	2011
PNG	17	38.897	24.171	1418	3	47	34	5	7	81.727	53.585	97	3.816	97.095	12045	-0.717	86	49	39	37.778	62.162	14.274	0	9.792	90	126	-0.811	10	9	1535	4	3	-0.039	58	1	2011
SDN	29.31578947	58.3	32.80110526	12312	8.052631579	67.42105263	47.05263158	5.684210526	7.263157895	126.1037368	87.80447368	87.73684211	5.542842105	143.7358	11546.25	-0.896263158	100.0526316	75.68421053	49.10526316	45.47315789	56.85942105	47	2.736842105	9.142263158	101.8	837188	-0.855157895	49	6.947368421	5701.947368	31	5.052631579	-0.570736842	65.31578947	16.63157895	2011
SGP	100	100	99.526	121	14	66	35	0	2	116.473	91.702	75	1.2	97.219	173483	2.194	102	78	36	13.81	277.521	0	0	6.967	103	65	1.661	100	7	2	9	4	-0.102	71	22	2011
SSD	29.31578947	41.187	32.80110526	4120	8.052631579	67.42105263	47.05263158	5.684210526	7.263157895	126.1037368	87.80447368	87.73684211	5.542842105	156	9415.157895	-0.896263158	100.0526316	75.68421053	49.10526316	45.47315789	56.85942105	71	2.736842105	9.142263158	38	408101	-0.855157895	0.5	6.947368421	5701.947368	19.4	5.052631579	-0.570736842	65.31578947	16.63157895	2011
SWE	100	99.621	100	283	8	59	41	0	4	133.523	105.344	88	1.9	94.414	117103	1.925	98	68	53	17.232	63.402	0	1	6.614	98	23	1.918	100	3	1	23	8	1.613	97	45	2011
TCD	9	45.199	15.166	4310	7	63	45	14	4	197.854	98.309	71	6.948	128.97	6419	-1.374	78	74	41	49.141	66.544	67.304	0	8.443	90	42619	-1.485	8	5	17267	1	1	-1.35	58	13	2011
TGO	40	58.791	23.223	1462	21	57	23	0	12	116.64	85.917	90	4.917	92.766	6294	-1.372	119	62	29	42.052	62.075	50.558	5	9.072	124	17853	-0.894	16	8	4	3	2	-0.904	76	11	2011
THA	99	97.832	54.502	7092	17	73	55	2	5	103.857	98.473	81	1.597	136.202	28495	0.099	103	81	40	19.764	121.721	0.442	1	7.139	104	365	-0.23	99	4	279	3	1	-0.405	75	16	2011
TZA	14	44.945	43.602	7600	3	83	72	0	9	97.961	77.863	94	5.207	72.333	5887	-0.661	97	89	74	45.898	44.822	9.069	1	9.357	97	1154	-0.515	3	8	942	7	3	-0.141	81	36	2011
UKR	100	94.435	20.379	3791	17	52	31	1	9	179.558	138.804	83	1.459	47.103	40554	-0.867	100	62	33	15.945	89.205	0.001	5	6.93	99	25372	-0.851	100	3	33	18	8	-0.132	76	8	2011
VNM	99	89.628	43.128	6871	17	76	58	3	4	59.794	56.453	88	1.902	121.414	13348	-0.209	98	81	53	25.246	117.996	7.716	5	9.232	100	337828	-0.542	98	8	3	3	1	-1.459	70	24	2011
ZMB	28	58.799	54.028	5104	3	53	32	0	8	136.244	92.424	77	5.271	111.107	11884	-0.683	110	67	36	47.074	68.966	16.148	0	9.483	112	234	-0.456	8	6	330	23	11	-0.17	61	11	2011
ZWE	37	67.016	10.9	4622	3	62	52	1	16	108.124	89.274	85	4.096	8.491	8952	-1.421	102	72	43	45.699	81.521	24.398	14	9.88	104	25033	-1.794	14	9	1220	9	5	-1.464	87	15	2011
AFG	69	54.149	11.848	8063	23	43	56	0	3	75.061	69.145	21	5.83	87.81	13173	-1.376	89	78	15	48.135	47.711	16.657	1	8.954	106	2586132	-1.652	61	14	12	10	8	-1.267	29	28	2012
AGO	37	51.969	15.166	10302	2	64	37	29	3	214.258	103.991	94	6.039	836	28787	-0.989	102	80	57	46.521	74.04	26.462	0	8.829	124	19253	-1.305	5	6	1215	37	17	-1.076	71	34	2012
AUS	100	99.901	97.63	698	8	62	60	1	5	136.759	86.294	82	1.92	81.216	106986	1.613	105	72	67	19.529	33.445	0	0	6.984	106	47	1.76	100	3	5	12	5	1.499	91	25	2012
BDI	6	57.735	10.427	2040	1	77	49	0	7	110.682	87.8	103	5.991	205.433	2335	-1.309	137	77	61	46.071	37.928	2.012	2	9.777	136	73354	-1.084	1	7	214	3	2	-0.895	73	30	2012
BEN	38	65.032	33.175	2060	18	69	36	0	6	85.775	71.981	92	5.347	98.032	7395	-0.527	117	74	46	44.161	33.946	57.143	2	8.958	123	451	-0.575	15	6	625	5	2	0.124	74	8	2012
BFA	15	52.405	48.815	3297	5	65	59	0	5	100.269	74.707	75	5.793	105.152	5688	-0.632	80	77	48	46.696	45.832	51.158	2	8.941	82	1458	-0.426	2	9	143	6	4	-0.305	77	16	2012
CHN	100	90.411	51.659	65520	31	67	51	2	8	90.114	87.698	82	1.798	87.009	21837	0.015	104	77	53	19.277	45.324	0.952	0	8.515	103	193449	-0.545	100	8	77	10	5	-1.638	76	21	2012
CMR	55	64.342	15.166	7625	10	71	54	5	5	105.318	76.227	86	4.989	94.204	10786	-0.905	105	80	49	44.088	35.778	6.019	1	9.508	113	13360	-1.043	18	3	363	6	4	-1.022	51	14	2012
COD	15	36.686	13.27	26204	5	63	29	2	16	72.538	55.939	90	6.559	317.156	3355	-1.644	95	70	39	46.589	42.312	11.517	3	8.666	102	509275	-1.663	1	7	33661	8	4	-1.481	42	9	2012
COG	42	68.008	17.062	1128	25	55	24	28	4	86.257	58.431	97	4.75	174.26	28332	-1.175	109	69	44	41.513	83.576	8.699	0	9.047	105	12113	-1.142	11	18	1181	40	20	-1.155	49	7	2012
GBR	100	100	94.787	1565	8	58	46	1	3	101.49	94.727	82	1.92	96.018	103983	1.591	106	69	56	18.379	43.649	0	0	6.552	106	150	1.729	100	2	17	21	8	1.339	95	22	2012
GHA	56	77.748	60.19	4647	12	68	45	2	3	131.307	105.895	90	4.183	86.519	12797	-0.09	100	74	43	39.678	75.875	18.789	5	9.419	101	24269	0.017	24	12	9548	7	3	0.431	75	10	2012
JPN	100	98.802	94.313	2549	14	56	37	0	4	127.787	98.213	68	1.41	96.651	85189	1.408	102	71	42	13.655	26.854	0	0	4.675	102	173	1.351	100	2	3	8	4	1.101	79	8	2012
MLI	26	68.719	32.701	3858	4	69	64	0	6	96.086	71.531	74	6.523	166.691	6050	-0.983	72	81	53	47.789	49.301	10.72	7	8.733	77	149930	-0.665	2	-3	219	2	1	-0.496	54	10	2012
MOZ	21	42.966	46.445	10386	1	77	58	2	13	112.957	89.037	100	5.451	68.442	3155	-0.653	107	80	67	46.634	75.167	37.14	1	8.846	113	155	-0.599	2	12	647	7	3	-0.198	79	39	2012
MWI	7	63.766	49.763	4608	5	69	57	0	4	109.522	106.068	88	4.924	40.827	4308	-0.51	135	77	57	47.594	44.807	8.115	0	9.255	135	273	-0.241	2	4	187	7	5	-0.206	69	22	2012
MYS	100	97.029	69.194	2192	20	61	45	5	5	113.796	85.73	60	2.116	96.25	56114	0.906	101	78	33	26.659	134.82	0.374	0	9.915	100	523	0.38	100	7	282	10	3	-0.347	50	10	2012
NER	14	44.515	44.076	5385	10	76	77	1	5	133.334	107.586	75	7.4	98.562	3612	-0.695	61	89	57	49.341	40.777	73.409	2	8.034	67	824	-0.664	5	4	5824	4	2	-0.285	54	13	2012
NGA	53	63.296	18.009	37328	12	58	26	7	7	228.412	120.71	89	5.832	120.699	17910	-1.001	88	64	28	44.638	35.713	21.364	4	8.515	89	18017	-1.139	27	4	597	10	4	-0.7	63	7	2012
NPL	75	86.687	34.597	3270	11	36	34	0	5	126.411	120.407	42	2.387	107.741	14446	-0.99	152	57	18	36.785	32.147	32.755	22	9.949	148	7601	-0.737	71	4	34	20	11	-0.642	49	33	2012
PHL	87	90.723	45.498	11079	10	60	48	0	3	88.564	83.112	64	3.127	89.08	17349	0.206	108	75	33	34.524	45.029	6.889	9	9.104	109	979	-0.522	81	7	1864	10	4	-0.03	79	23	2012
RWA	18	55.65	76.777	1972	2	54	40	0	5	86.622	77.787	80	4.233	81.451	6339	-0.102	143	68	43	43.088	37.767	2.869	2	9.688	141	97357	-0.251	7	12	9	16	12	-1.278	72	56	2012
SDN	28.94736842	58.3	33.32494737	12360	7.736842105	66.26315789	46.89473684	4	7.473684211	120.1772105	89.51268421	87.68421053	5.418105263	155.20715	11515.625	-0.825947368	104.8947368	74.89473684	48.63157895	45.54089474	51.98457895	45	2.789473684	9.096947368	104.8	837188	-0.769052632	49	7.894736842	3227.736842	30	5.526315789	-0.621736842	67.36842105	20.15789474	2012
SGP	100	100	99.526	121	14	67	37	0	2	116.157	91.84	75	1.29	97.701	174539	2.203	103	79	36	13.666	267.074	0	0	7.08	104	64	1.724	100	5	2	9	4	0.053	71	24	2012
SSD	28.94736842	41.187	33.32494737	4180	7.736842105	66.26315789	46.89473684	4	7.473684211	120.1772105	89.51268421	87.68421053	5.418105263	229	9607.263158	-0.825947368	104.8947368	74.89473684	48.63157895	45.54089474	51.98457895	69.5	2.789473684	9.096947368	38	616245	-0.769052632	0.7	7.894736842	3227.736842	19.6	5.526315789	-0.621736842	67.36842105	20.15789474	2012
TGO	39	59.957	26.54	1450	21	57	23	0	11	130	97.154	90	4.806	94.389	6521	-1.297	123	61	29	42.001	68.236	49.543	6	9.028	127	15683	-0.948	16	10	61	3	2	-0.996	76	11	2012
THA	99	98.113	53.555	6931	17	73	54	2	5	106.904	100.751	80	1.586	138.802	30292	0.13	103	81	39	19.327	120.29	0.38	1	7.092	104	378	-0.172	99	8	29	3	1	-0.321	75	16	2012
TZA	15	46.427	34.597	7451	3	82	72	0	9	114.766	92.661	93	5.098	79.916	5996	-0.702	94	88	73	45.909	41.414	8.814	1	9.284	94	1109	-0.538	2	6	286	6	3	-0.176	81	36	2012
UGA	20	43.249	24.645	9700	5	68	54	0	10	103.991	91.827	88	5.784	79.631	7051	-0.596	113	75	51	50.273	30.766	8.267	3	9.39	113	5588	-0.356	12	4	6326	5	4	-0.494	70	35	2012
ZMB	29	59.832	55.45	4967	3	55	34	0	8	141.749	105.444	77	5.146	118.876	11983	-0.509	111	67	36	46.891	71.246	15.024	0	9.42	112	240	-0.36	8	12	198	17	8	-0.133	63	11	2012
ZWE	44	66.491	10.9	4368	3	62	53	0	15	119.524	105.965	85	4.096	8.903	10138	-1.374	101	72	43	45.802	63.226	23.721	12	9.504	104	22082	-1.63	24	17	23	8	5	-1.472	87	15	2012
AFG	68	56.858	9.953	9215	25	43	55	0	2	90.124	84.892	22	5.696	92.045	13274	-1.399	89	77	16	47.545	45.015	15.818	2	9.17	108	2556483	-1.609	60	8	3957	10	8	-1.24	29	28	2013
AGO	38	52.757	12.322	10232	2	64	37	24	3	205.679	103.234	94	5.953	859.74	29192	-1.243	105	79	57	46.526	71.466	25.154	0	8.782	123	10274	-1.291	5	7	6655	36	16	-1.114	71	34	2013
AUS	100	99.91	95.735	684	8	61	59	1	5	134.791	91.695	82	1.855	81.083	108730	1.633	106	71	66	19.53	31.39	0	0	6.939	106	27	1.77	100	2	3	12	6	1.436	94	26	2013
BDI	7	58.347	11.374	2006	1	78	47	0	8	78.109	72.746	104	5.889	221.771	2374	-1.07	131	77	59	46.401	36.915	1.934	2	9.556	130	72636	-1.076	1	3	1557	3	2	-0.953	73	30	2013
BEN	35	65.28	39.336	2130	20	68	35	0	6	117.837	101.819	91	5.345	99.402	7798	-0.509	119	73	44	44.027	39.879	56.25	2	8.942	124	294	-0.568	13	9	528	5	2	0.155	74	8	2013
CHN	100	91.208	54.028	61407	31	67	51	1	8	97.165	95.127	82	1.714	88.891	23534	-0.005	104	77	52	19.3	43.457	0.843	0	8.02	103	195121	-0.526	100	8	53	10	5	-1.631	76	23	2013
CMR	56	64.91	16.114	7729	10	70	52	4	5	111.261	83.692	86	4.914	97.08	11136	-0.925	106	79	47	44.016	33.099	5.827	1	9.462	113	11410	-1.058	20	5	29	6	4	-1.037	51	31	2013
COD	15	36.566	12.322	26883	5	63	29	1	15	72.538	56.983	90	6.527	325.945	3519	-1.468	97	70	39	46.618	38.25	11.59	3	8.656	103	499551	-1.585	1	8	26944	8	4	-1.459	42	9	2013
COG	42	69.06	20.853	1080	25	54	24	18	5	121.224	87.689	96	4.691	172.335	27769	-1.159	103	69	44	41.875	104.824	8.718	0	8.809	102	11744	-1.121	10	5	1624	41	20	-1.118	49	7	2013
GBR	100	100	95.735	1532	8	58	46	1	3	115.916	93.993	83	1.83	98.051	104532	1.513	105	69	57	18.383	43.41	0	0	6.5	105	140	1.689	100	1	6	21	8	1.329	95	22	2013
GHA	71	78.816	61.611	4534	11	68	45	2	3	133.241	115.937	89	4.136	100	13335	-0.134	99	74	43	39.633	49.904	18.623	3	9.271	100	21048	0.154	51	15	50	5	2	0.439	75	11	2013
IND	83	87.982	46.919	178949	20	49	38	1	5	117.502	97.023	35	2.406	114.612	16705	-0.157	108	78	17	30.041	42.023	35.933	4	9.105	106	11032	-0.046	77	8	6008	21	8	0.433	66	11	2013
ISR	100	100	82.464	202	8	61	50	0	3	103.971	97.847	83	3.03	97.085	90897	1.244	98	71	50	28.897	46.253	0	0	7.189	98	1026	0.972	100	4	1	10	6	0.649	81	22	2013
ITA	100	99.891	64.455	1052	14	43	19	0	3	113.375	97.567	68	1.39	98.18	128013	0.533	101	59	23	14.832	46.58	0	0	4.891	101	64	0.436	100	-1	1	40	12	0.954	92	31	2013
JPN	100	98.839	94.787	2418	14	57	38	0	4	114.352	96.264	69	1.43	96.308	86279	1.611	102	70	44	13.55	29.704	0	0	4.595	102	154	1.436	100	2	8	7	4	1.11	79	8	2013
KOR	100	99.274	76.777	1215	13	60	19	0	6	106.241	91.745	69	1.187	96.042	79064	1.004	100	73	29	15.188	78.447	0	0	6.275	100	495	0.945	100	4	3	8	3	0.706	85	16	2013
MLI	32	70.256	35.545	3839	4	69	64	0	6	86.092	70.992	74	6.491	167.779	6042	-0.899	70	81	53	48.049	46.411	10.047	7	8.6	73	152812	-0.747	3	7	23	2	2	-0.285	54	10	2013
MOZ	22	44.976	44.55	10674	2	77	58	2	13	117.893	97.878	99	5.34	70.222	3268	-0.635	108	80	65	46.502	82.12	35.337	1	8.866	114	51	-0.82	3	5	1869	7	3	-0.256	79	39	2013
MYS	100	97.036	70.142	2154	20	62	46	5	5	114.193	89.287	63	2.089	96.418	56098	0.993	101	78	34	26.163	134.321	0.367	0	9.805	101	478	0.341	99	6	171	10	3	-0.34	50	10	2013
NAM	47	82.275	70.142	773	5	50	23	0	3	113.815	105.247	90	3.653	88.954	37383	0.272	120	65	33	37.552	101.716	44.454	1	10.773	123	1138	0.319	27	7	3	40	19	0.4	80	24	2013
NER	15	44.961	44.55	5538	10	75	74	3	6	145.738	122.083	74	7.344	98.198	3728	-0.732	65	87	54	49.32	40.352	72.615	1	8.065	72	674	-0.666	7	7	585	2	1	-0.306	54	13	2013
NGA	56	64.924	15.64	37394	12	58	25	5	7	180.33	97.807	89	5.738	126.691	18685	-0.998	90	63	25	44.643	28.177	21.084	4	8.511	91	31173	-1.12	32	8	6600	10	4	-0.693	63	7	2013
NPL	77	87.224	39.81	3250	11	36	34	0	6	121.933	119.108	44	2.334	115.372	14832	-0.932	148	57	19	36.44	33.616	29.823	25	10.084	144	8098	-0.719	74	4	2	20	11	-0.529	49	31	2013
PHL	88	91.143	54.028	11166	10	59	47	0	3	96.38	92.79	65	3.096	90.916	18196	0.206	108	75	32	34.157	43.126	6.497	9	9.168	109	718	-0.469	82	8	6	9	3	0.006	79	27	2013
SDN	37	58.3	32.760625	12407	9.125	65.375	42.5625	3.8125	7.25	122.0798125	94.580375	89.125	5.2445	182.1848824	11485	-0.737875	102.875	74	46.4375	43.9338125	54.0495	43	2.25	9.1359375	102.5882353	837188	-0.7031875	49	6.4375	2978.25	28.4	6.75	-0.455375	67.5	21.9375	2013
SGP	100	100	99.052	119	14	67	35	0	3	116.685	95.784	76	1.19	97.28	179856	2.129	103	78	34	13.38	254.657	0	0	7.131	103	61	1.697	100	7	2	9	4	0.037	71	24	2013
SSD	37	41.187	32.760625	4250	9.125	65.375	42.5625	3.8125	7.25	122.0798125	94.580375	89.125	5.2445	313	14475.5	-0.737875	102.875	74	46.4375	43.9338125	54.0495	68	2.25	9.1359375	38	778400	-0.7031875	0.9	6.4375	2978.25	20	6.75	-0.455375	67.5	21.9375	2013
TGO	41	61.112	22.749	1442	21	57	23	0	10	150.296	121.08	90	4.723	95.978	6727	-1.289	124	61	29	41.919	71.259	48.531	7	8.983	128	10301	-0.984	17	4	166	4	2	-0.904	82	15	2013
THA	99	98.39	54.028	6822	18	70	52	2	5	106.624	100.946	79	1.547	141.271	31865	0.163	103	79	35	18.943	113.936	0.319	2	7.019	104	220	-0.139	99	4	8	1	0	-0.43	75	16	2013
TZA	16	47.904	35.071	7337	3	82	71	0	9	94.311	83.146	92	5.122	87.641	6230	-0.712	90	88	72	45.901	36.474	8.559	1	9.176	89	1033	-0.477	2	5	270	6	3	-0.204	81	36	2013
UGA	14	44.785	21.801	10016	4	69	55	0	10	106.208	100.047	89	5.618	82.487	6943	-0.611	112	75	52	50.026	28.448	7.798	3	9.492	112	8166	-0.346	3	5	748	3	2	-0.552	70	35	2013
ZAF	85	90.947	60.19	19013	11	44	19	2	7	118.705	92.906	79	2.428	89.92	47479	0.306	107	63	27	29.933	55.498	3.931	0	10.231	109	424	0.135	82	3	1	43	22	0.601	82	42	2013
AFG	90	59.598	12.5	10377	27	43	55	0	2	99.83	94.873	24	5.56	92.567	12971	-1.359	90	76	17	46.882	40.489	14.981	1	9.405	109	2596259	-1.437	86	5	45481	10	8	-1.135	29	28	2014
AGO	32	53.542	9.135	10183	2	64	37	18	2	178.324	95.451	94	5.864	890.355	29569	-1.056	108	79	56	46.531	64.538	23.843	0	8.726	121	9468	-1.075	4	10	213	35	16	-1.145	71	37	2014
AUS	100	99.961	95.673	676	8	61	57	1	5	127.861	96.715	83	1.826	82.222	110795	1.601	105	71	66	19.532	32.502	0	0	6.89	105	27	1.919	100	2	2	13	6	1.362	94	26	2014
BDI	7	58.963	15.385	1936	1	78	45	0	7	109.436	104.724	104	5.794	233.538	2405	-1.151	127	77	58	46.732	33.299	1.856	2	9.152	125	72477	-0.97	1	9	582	3	2	-1.043	73	30	2014
